time,country,new_cases,total_cases,total_cases_per_million,vaccinated,vaccinated_rate,vaccinated_fully_rate,fatality_rate
2021-12-05,Ethiopia,125,"372,215","3,157.68",8.61 million,7.30%,1.23%,1.83%
2021-12-05,Europe,"262,255",76.45 million,"102,074.34",471.99 million,63.02%,58.70%,1.88%
2021-12-05,European Union,"174,098",47.95 million,"107,234.87",316.27 million,70.72%,67.50%,1.78%
2021-12-05,Faeroe Islands,120,"3,916","79,832.02","41,387",84.37%,82.41%,0.33%
2021-12-05,Falkland Islands,0,83,"23,526.08",,,,
2021-12-05,Fiji,0,"52,543","58,193.66","655,857",72.64%,65.28%,1.33%
2021-12-05,Finland,0,"191,226","34,465.31",4.31 million,77.64%,73.20%,0.71%
2021-12-05,France,"42,153",7.96 million,"118,088.81",52.34 million,77.63%,70.40%,1.50%
2021-12-05,French Polynesia,0,"46,323","163,955.49","165,041",58.41%,55.20%,1.37%
2021-12-05,Gabon,0,"37,477","16,445.73","186,639",8.19%,6.23%,0.75%
2021-12-05,Gambia,0,"9,992","4,017.79","239,974",9.65%,9.09%,3.42%
2021-12-05,Georgia,"3,410","865,293","217,422.70",1.22 million,30.63%,25.60%,1.43%
2021-12-05,Germany,"22,945",6.20 million,"73,908.25",60.02 million,71.53%,68.48%,1.66%
2021-12-05,Ghana,0,"130,920","4,125.79",2.65 million,8.36%,4.93%,0.92%
2021-12-05,Gibraltar,11,"7,371","218,782.46","41,002",121.70%,118.25%,1.34%
2021-12-05,Greece,"3,526","966,221","93,167.93",7.15 million,68.92%,64.25%,1.93%
2021-12-05,Greenland,0,"1,582","27,818.81","40,274",70.82%,66.02%,
2021-12-05,Grenada,1,"5,908","52,276.25","40,561",35.89%,30.61%,3.38%
2021-12-05,Guatemala,310,"619,852","33,964.74",6.10 million,33.41%,22.93%,2.58%
2021-12-05,Guernsey,,,,,,,
2021-12-05,Guinea,0,"30,770","2,279.73",1.68 million,12.45%,6.03%,1.26%
2021-12-05,Guinea-Bissau,0,"6,444","3,197.24","368,424",18.28%,1.00%,2.31%
2021-12-05,Guyana,42,"38,160","48,283.69","403,537",51.06%,35.75%,2.64%
2021-12-05,Haiti,0,"25,510","2,210.25","120,569",1.04%,0.61%,2.93%
2021-12-05,High income,"279,791",117.34 million,"96,583.07",906.10 million,74.58%,68.46%,1.58%
2021-12-05,Honduras,0,"378,251","37,588.32",4.40 million,43.68%,38.67%,2.75%
2021-12-05,Hong Kong,9,"12,461","1,649.85",4.78 million,63.29%,60.28%,1.71%
2021-12-05,Hungary,0,1.13 million,"117,796.34",6.16 million,63.94%,60.90%,3.10%
2021-12-05,Iceland,0,"18,333","49,710.95","286,323",77.64%,76.42%,0.19%
2021-12-05,India,"17,201",34.64 million,"24,861.01",801.42 million,57.51%,34.26%,1.37%
2021-12-05,Indonesia,196,4.26 million,"15,406.20",142.70 million,51.64%,35.90%,3.38%
2021-12-05,International,0,721,,,,,2.08%
2021-12-05,Iran,"3,109",6.13 million,"72,145.77",58.09 million,68.32%,56.63%,2.12%
2021-12-05,Iraq,457,2.08 million,"50,616.29",7.69 million,18.68%,11.80%,1.15%
2021-12-05,Ireland,"5,156","594,250","119,257.77",3.88 million,77.81%,76.53%,0.96%
2021-12-05,Isle of Man,65,"11,926","139,632.36","68,389",80.07%,75.93%,0.56%
2021-12-05,Israel,473,1.35 million,"144,862.23",6.38 million,68.68%,62.34%,0.61%
2021-12-05,Italy,"15,010",5.11 million,"84,633.03",47.41 million,78.53%,73.17%,2.63%
2021-12-05,Jamaica,48,"91,469","30,761.78","682,950",22.97%,17.59%,2.63%
2021-12-05,Japan,104,1.73 million,"13,702.64",99.93 million,79.28%,77.50%,1.06%
2021-12-05,Jersey,,,,"80,282",79.43%,74.97%,
2021-12-05,Jordan,"4,555","975,956","95,038.85",4.17 million,40.65%,36.77%,1.21%
2021-12-05,Kazakhstan,653,1.06 million,"55,738.90",8.78 million,46.22%,43.05%,1.69%
2021-12-05,Kenya,29,"255,437","4,645.52",4.94 million,8.98%,5.37%,2.09%
2021-12-05,Kiribati,0,2,16.48,"59,492",49.01%,18.68%,
2021-12-05,Kosovo,3,"161,135","90,417.85","859,855",48.25%,42.99%,1.85%
2021-12-05,Kuwait,27,"413,491","95,526.38",3.31 million,76.56%,73.46%,0.60%
2021-12-05,Kyrgyzstan,42,"183,615","27,701.48",1.14 million,17.16%,13.79%,1.50%
2021-12-05,Laos,"1,364","79,833","10,818.42",3.74 million,50.75%,42.00%,0.26%
2021-12-05,Latvia,477,"257,329","137,835.08",1.28 million,68.80%,64.78%,1.66%
2021-12-05,Lebanon,"1,654","678,801","100,278.60",1.95 million,28.80%,25.27%,1.29%
2021-12-05,Lesotho,0,"21,838","10,114.55","626,669",29.02%,28.64%,3.04%
2021-12-05,Liberia,0,"5,824","1,124.28","605,468",11.69%,11.11%,4.93%
2021-12-05,Libya,709,"374,989","53,889.05",1.74 million,24.97%,10.07%,1.47%
2021-12-05,Liechtenstein,31,"4,893","127,908.19","25,780",67.39%,65.82%,1.27%
2021-12-05,Lithuania,"1,525","479,839","178,387.96",1.88 million,69.86%,66.62%,1.43%
2021-12-05,Low income,453,1.38 million,"2,081.97",41.00 million,6.16%,3.12%,2.71%
2021-12-05,Lower middle income,"49,125",63.98 million,"19,209.68",1.50 billion,45.00%,29.08%,1.82%
2021-12-05,Luxembourg,0,"90,774","142,993.07","450,006",70.89%,67.69%,0.97%
2021-12-05,Macao,0,77,116.95,"486,338",73.87%,67.23%,
2021-12-05,Madagascar,0,"44,800","1,575.95","589,003",2.07%,1.90%,2.17%
2021-12-05,Malawi,15,"61,981","3,154.62",1.19 million,6.08%,3.15%,3.72%
2021-12-05,Malaysia,"4,298",2.66 million,"81,118.99",25.91 million,79.07%,77.79%,1.15%
2021-12-05,Maldives,116,"92,211","169,624.00","395,956",72.84%,67.09%,0.28%
2021-12-05,Mali,103,"17,915",859.00,"798,505",3.83%,1.54%,3.45%
2021-12-05,Malta,69,"39,934","77,376.48","436,151",84.51%,83.89%,1.17%
2021-12-05,Marshall Islands,0,4,67.09,,,,
2021-12-05,Mauritania,48,"39,558","8,284.21",1.09 million,22.80%,14.53%,2.12%
2021-12-05,Mauritius,117,"22,090","17,346.88","916,524",71.97%,68.99%,1.09%
2021-12-05,Mexico,"3,811",3.90 million,"29,949.31",78.27 million,60.09%,50.22%,7.57%
2021-12-05,Micronesia (country),0,1,8.60,,,,
2021-12-05,Moldova,94,"366,256","91,017.33","989,897",24.60%,23.53%,2.52%
2021-12-05,Monaco,6,"3,885","98,304.66",,,,0.93%
2021-12-05,Mongolia,139,"383,682","115,244.67",2.26 million,67.93%,64.68%,0.53%
2021-12-05,Montenegro,183,"158,466","252,313.90","277,220",44.14%,41.31%,1.47%
2021-12-05,Montserrat,0,44,"8,833.57","1,547",31.06%,29.55%,2.27%
2021-12-05,Morocco,90,"950,591","25,454.45",24.53 million,65.68%,61.06%,1.56%
2021-12-05,Mozambique,56,"151,924","4,723.56",6.69 million,20.79%,12.79%,1.28%
2021-12-05,Myanmar,285,"524,407","9,568.42",16.85 million,30.74%,21.64%,3.65%
2021-12-05,Namibia,158,"129,796","50,165.73","366,698",14.17%,11.90%,2.75%
2021-12-05,Nauru,,,,,,,
2021-12-05,Nepal,200,"822,592","27,720.11",10.43 million,35.15%,29.40%,1.40%
2021-12-05,Netherlands,"23,078",2.76 million,"160,515.75",13.27 million,77.30%,70.45%,0.72%
2021-12-05,New Caledonia,0,"12,331","42,783.74","181,108",62.84%,59.27%,2.26%
2021-12-05,New Zealand,136,"12,331","2,407.18",3.93 million,76.66%,72.07%,0.36%
2021-12-05,Nicaragua,0,"17,254","2,574.31",4.34 million,64.73%,37.26%,1.23%
2021-12-05,Niger,19,"7,080",281.73,"507,223",2.02%,1.85%,3.69%
2021-12-05,Nigeria,55,"214,622","1,015.24",7.13 million,3.37%,1.79%,1.39%
2021-12-05,Niue,,,,,,,
2021-12-05,North America,"58,053",58.74 million,"98,466.76",391.06 million,65.55%,55.58%,2.01%
2021-12-05,North Macedonia,276,"217,301","104,338.15","836,816",40.18%,38.63%,3.52%
2021-12-05,Northern Cyprus,,,,"284,357",74.39%,72.20%,
2021-12-05,Norway,"1,530","284,448","52,043.05",4.25 million,77.77%,70.63%,0.38%
2021-12-05,Oceania,"1,569","378,688","8,761.88",25.86 million,59.82%,55.77%,1.13%
2021-12-05,Oman,22,"304,603","58,315.35",3.12 million,59.75%,55.31%,1.35%
2021-12-05,Pakistan,336,1.29 million,"5,715.64",81.81 million,36.33%,23.23%,2.24%
2021-12-05,Palau,0,8,440.19,,,,
2021-12-05,Palestine,0,"461,467","88,356.99",2.02 million,38.68%,26.88%,1.04%
2021-12-05,Panama,510,"479,053","109,333.32",3.01 million,68.73%,55.63%,1.54%
2021-12-05,Papua New Guinea,148,"35,538","3,897.14","269,366",2.95%,2.17%,1.55%
2021-12-05,Paraguay,0,"463,260","64,166.63",3.40 million,47.03%,37.45%,3.56%
2021-12-05,Peru,769,2.24 million,"67,249.83",23.01 million,68.96%,57.78%,8.98%
2021-12-05,Philippines,481,2.83 million,"25,527.72",56.11 million,50.53%,34.37%,1.74%
2021-12-05,Pitcairn,,,,,,,
2021-12-05,Poland,"22,394",3.67 million,"97,135.25",20.98 million,55.50%,54.31%,2.33%
2021-12-05,Portugal,"3,786",1.17 million,"114,751.75",9.15 million,90.00%,88.56%,1.59%
2021-12-05,Qatar,152,"244,223","83,337.66",,,,0.25%
2021-12-05,Romania,916,1.79 million,"93,373.97",7.98 million,41.74%,39.33%,3.20%
2021-12-05,Russia,"32,013",9.63 million,"66,000.70",68.03 million,46.62%,40.23%,2.86%
2021-12-05,Rwanda,10,"100,414","7,563.28",5.99 million,45.10%,26.01%,1.34%
2021-12-05,Saint Helena,0,4,656.28,,,,
2021-12-05,Saint Kitts and Nevis,1,"2,790","52,104.73","27,350",51.08%,46.68%,1.00%
2021-12-05,Saint Lucia,7,"13,034","70,682.91","54,804",29.72%,25.63%,2.16%
2021-12-05,Saint Pierre and Miquelon,0,86,"14,902.10",,,,
2021-12-05,Saint Vincent and the Grenadines,44,"5,623","50,535.19","31,696",28.49%,21.02%,1.35%
2021-12-05,Samoa,0,3,14.99,"139,865",69.88%,54.39%,
2021-12-05,San Marino,0,"6,148","180,770.36","24,282",71.40%,63.58%,1.51%
2021-12-05,Sao Tome and Principe,1,"3,733","16,712.63","85,356",38.21%,21.20%,1.50%
2021-12-05,Saudi Arabia,35,"549,912","15,560.31",24.68 million,69.85%,64.01%,1.61%
2021-12-05,Senegal,11,"74,024","4,304.65",1.33 million,7.72%,5.41%,2.55%
2021-12-05,Serbia,"1,244",1.26 million,"183,897.89",3.28 million,47.71%,45.79%,0.94%
2021-12-05,Seychelles,0,"23,599","238,590.64","82,117",83.02%,79.08%,0.54%
2021-12-05,Sierra Leone,0,"6,402",786.36,"747,044",9.18%,4.73%,1.89%
2021-12-05,Singapore,552,"269,211","49,363.91",4.74 million,87.00%,87.00%,0.28%
2021-12-05,Sint Maarten (Dutch part),,,,"26,935",62.03%,57.39%,
2021-12-05,Slovakia,"8,572",1.23 million,"225,307.59",2.67 million,48.84%,45.65%,1.21%
2021-12-05,Slovenia,"1,119","430,064","206,888.56",1.24 million,59.42%,55.67%,1.23%
2021-12-05,Solomon Islands,0,20,28.41,"161,521",22.94%,6.61%,
2021-12-05,Somalia,0,"23,051","1,409.03","892,093",5.45%,4.06%,5.77%
2021-12-05,South Africa,"11,125",3.03 million,"50,492.89",17.84 million,29.71%,24.90%,2.97%
2021-12-05,South America,"12,238",39.04 million,"89,907.85",313.89 million,72.28%,59.79%,3.03%
2021-12-05,South Korea,"4,324","477,358","9,304.28",42.70 million,83.22%,80.67%,0.82%
2021-12-05,South Sudan,0,"12,804","1,125.00","219,733",1.93%,1.52%,1.04%
2021-12-05,Spain,0,5.20 million,"111,304.62",38.45 million,82.25%,80.60%,1.69%
2021-12-05,Sri Lanka,746,"567,682","26,407.12",15.94 million,74.16%,64.03%,2.55%
2021-12-05,Sudan,0,"43,489",968.37,2.78 million,6.20%,2.75%,7.28%
2021-12-05,Suriname,16,"51,009","86,193.26","258,498",43.68%,37.38%,2.30%
2021-12-05,Sweden,0,1.21 million,"119,303.74",7.63 million,75.06%,70.91%,1.25%
2021-12-05,Switzerland,0,1.04 million,"119,859.30",5.88 million,67.52%,65.80%,1.11%
2021-12-05,Syria,81,"48,619","2,660.31",1.00 million,5.49%,4.18%,5.71%
2021-12-05,Taiwan,4,"16,652",698.05,18.30 million,76.72%,59.40%,5.09%
2021-12-05,Tajikistan,0,"17,493","1,794.22",3.12 million,31.98%,26.59%,0.71%
2021-12-05,Tanzania,0,"26,270",427.17,1.59 million,2.59%,1.75%,2.78%
2021-12-05,Thailand,"8,704",2.15 million,"30,667.84",49.22 million,70.37%,60.72%,0.98%
2021-12-05,Timor,0,"19,828","14,754.35","652,294",48.54%,36.44%,0.61%
2021-12-05,Togo,13,"26,304","3,102.53",1.28 million,15.12%,7.66%,0.92%
2021-12-05,Tokelau,,,,,,,
2021-12-05,Tonga,0,1,9.37,"73,296",68.66%,43.31%,
2021-12-05,Trinidad and Tobago,601,"75,134","53,538.12","693,483",49.42%,46.20%,3.01%
2021-12-05,Tunisia,165,"718,443","60,192.46",6.19 million,51.84%,43.96%,3.54%
2021-12-05,Turkey,"19,357",8.90 million,"104,689.57",56.37 million,66.29%,59.56%,0.87%
2021-12-05,Turkmenistan,,,,,,,
2021-12-05,Turks and Caicos Islands,0,"3,103","79,105.70","29,210",74.47%,69.17%,0.81%
2021-12-05,Tuvalu,,,,,,,
2021-12-05,Uganda,4,"127,655","2,708.94",6.53 million,13.85%,2.73%,2.55%
2021-12-05,Ukraine,"7,211",3.67 million,"84,404.47",13.75 million,31.64%,27.21%,2.56%
2021-12-05,United Arab Emirates,114,"742,328","74,299.05",9.88 million,98.90%,89.73%,0.29%
2021-12-05,United Kingdom,"43,285",10.48 million,"153,697.78",51.12 million,74.95%,68.26%,1.39%
2021-12-05,United States,"49,801",49.10 million,"147,499.02",236.37 million,71.19%,60.14%,1.61%
2021-12-05,Upper middle income,"109,381",83.17 million,"33,088.28",1.90 billion,75.57%,67.47%,2.65%
2021-12-05,Uruguay,104,"400,925","115,038.02",2.75 million,79.02%,76.39%,1.53%
2021-12-05,Uzbekistan,228,"194,333","5,726.49",17.92 million,52.80%,32.72%,0.73%
2021-12-05,Vanuatu,0,6,19.08,"96,141",30.57%,14.42%,16.67%
2021-12-05,Vatican,0,27,"33,251.23",,,,
2021-12-05,Venezuela,785,"434,918","15,151.33",16.42 million,57.19%,34.34%,1.19%
2021-12-05,Vietnam,"14,314",1.31 million,"13,335.11",73.39 million,74.76%,54.22%,2.01%
2021-12-05,Wallis and Futuna,0,454,"40,923.02","6,016",54.23%,53.39%,1.54%
2021-12-05,World,"438,764",265.89 million,"33,763.59",4.35 billion,55.18%,44.66%,1.98%
2021-12-05,Yemen,4,"10,025",328.79,"556,652",1.83%,1.20%,19.49%
2021-12-05,Zambia,18,"210,312","11,115.47","806,611",4.26%,3.92%,1.74%
2021-12-05,Zimbabwe,523,"139,046","9,213.12",3.88 million,25.68%,19.11%,3.39%
2021-12-06,Afghanistan,45,"157,499","3,953.74",4.14 million,10.40%,9.42%,4.64%
2021-12-06,Africa,"11,032",8.75 million,"6,370.50",161.23 million,11.74%,7.73%,2.56%
2021-12-06,Albania,172,"201,902","70,277.28",1.09 million,37.84%,34.05%,1.54%
2021-12-06,Algeria,193,"211,662","4,744.02",6.88 million,15.41%,12.08%,2.89%
2021-12-06,Andorra,621,"18,631","240,853.74","56,095",72.52%,65.07%,0.71%
2021-12-06,Angola,0,"65,259","1,923.14",6.74 million,19.86%,9.67%,2.66%
2021-12-06,Anguilla,55,"1,469","97,123.97","10,079",66.64%,60.98%,0.27%
2021-12-06,Antigua and Barbuda,1,"4,148","42,014.42","61,420",62.21%,58.08%,2.82%
2021-12-06,Argentina,"2,477",5.34 million,"117,159.45",37.06 million,81.26%,66.65%,2.18%
2021-12-06,Armenia,95,"340,818","114,825.91","835,816",28.16%,17.42%,2.26%
2021-12-06,Aruba,0,"16,450","153,458.65","83,795",78.17%,72.97%,1.06%
2021-12-06,Asia,"74,161",82.61 million,"17,656.62",2.99 billion,63.87%,50.51%,1.49%
2021-12-06,Australia,"1,434","220,555","8,552.55",20.12 million,78.04%,73.89%,0.94%
2021-12-06,Austria,"4,625",1.20 million,"133,041.40",6.44 million,71.26%,67.45%,1.07%
2021-12-06,Azerbaijan,585,"596,973","58,393.13",5.10 million,49.87%,44.93%,1.34%
2021-12-06,Bahamas,14,"22,839","57,541.43","154,135",38.83%,36.20%,3.09%
2021-12-06,Bahrain,25,"277,856","158,929.70",1.19 million,68.11%,66.51%,0.50%
2021-12-06,Bangladesh,277,1.58 million,"9,486.99",64.96 million,39.06%,22.93%,1.77%
2021-12-06,Barbados,105,"26,200","91,064.55","154,081",53.55%,48.11%,0.92%
2021-12-06,Belarus,"1,312","665,125","70,436.76",3.81 million,40.37%,30.35%,0.78%
2021-12-06,Belgium,"41,439",1.87 million,"160,664.75",8.87 million,76.23%,75.07%,1.46%
2021-12-06,Belize,144,"30,824","76,124.62","228,517",56.44%,48.22%,1.91%
2021-12-06,Benin,0,"24,863","1,996.86",1.09 million,8.73%,7.04%,0.65%
2021-12-06,Bermuda,0,"5,751","92,620.63","46,054",74.17%,72.52%,1.84%
2021-12-06,Bhutan,0,"2,641","3,386.33","589,482",75.58%,72.40%,0.11%
2021-12-06,Bolivia,"1,276","544,666","46,029.66",5.15 million,43.51%,35.85%,3.53%
2021-12-06,Bonaire Sint Eustatius and Saba,17,"3,057","115,598.41",,,,0.72%
2021-12-06,Bosnia and Herzegovina,"1,283","278,511","85,342.27","882,641",27.05%,,4.59%
2021-12-06,Botswana,250,"195,552","81,573.81","955,135",39.84%,22.03%,1.24%
2021-12-06,Brazil,"6,017",22.15 million,"103,522.31",164.60 million,76.92%,64.19%,2.78%
2021-12-06,British Virgin Islands,7,"2,816","92,561.55","18,288",60.11%,54.91%,1.35%
2021-12-06,Brunei,16,"15,202","34,430.12","404,451",91.60%,79.76%,0.65%
2021-12-06,Bulgaria,"2,426","705,586","102,308.44",1.90 million,27.61%,26.22%,4.12%
2021-12-06,Burkina Faso,0,"16,000",744.29,"442,769",2.06%,1.55%,1.79%
2021-12-06,Burundi,34,"20,473","1,670.53","1,834",0.01%,0.01%,0.19%
2021-12-06,Cambodia,16,"120,272","7,097.18",14.18 million,83.66%,79.61%,2.46%
2021-12-06,Cameroon,0,"107,148","3,935.75","793,725",2.92%,2.25%,1.68%
2021-12-06,Canada,"5,007",1.82 million,"47,827.50",30.83 million,81.00%,76.50%,1.64%
2021-12-06,Cape Verde,3,"38,453","68,433.76","299,770",53.35%,44.53%,0.91%
2021-12-06,Cayman Islands,134,"7,663","115,236.55","58,143",87.44%,84.49%,0.12%
2021-12-06,Central African Republic,0,"11,742","2,386.59","375,096",7.62%,6.81%,0.86%
2021-12-06,Chad,0,"5,703",337.16,"198,522",1.17%,0.45%,3.17%
2021-12-06,Chile,"1,501",1.77 million,"92,338.88",16.92 million,88.07%,84.58%,2.17%
2021-12-06,China,94,"99,297",68.75,1.23 billion,84.82%,77.90%,4.67%
2021-12-06,Colombia,"1,698",5.08 million,"99,145.20",37.84 million,73.80%,49.78%,2.53%
2021-12-06,Comoros,1,"4,543","5,113.36","282,378",31.78%,27.55%,3.32%
2021-12-06,Congo,0,"18,970","3,353.36","550,142",9.72%,2.40%,1.87%
2021-12-06,Cook Islands,0,2,113.82,"12,841",73.08%,71.12%,
2021-12-06,Costa Rica,231,"567,614","110,451.09",3.90 million,75.98%,63.79%,1.29%
2021-12-06,Cote d'Ivoire,2,"61,826","2,285.31",3.12 million,11.53%,5.21%,1.14%
2021-12-06,Croatia,728,"631,765","154,781.50",2.21 million,54.16%,47.33%,1.78%
2021-12-06,Cuba,104,"963,194","85,106.62",10.20 million,90.11%,82.22%,0.86%
2021-12-06,Curacao,2,"17,487","106,113.01","103,136",62.58%,57.96%,1.03%
2021-12-06,Cyprus,706,"137,538","153,501.38","630,566",70.38%,65.80%,0.44%
2021-12-06,Czechia,"6,346",2.25 million,"209,525.47",6.71 million,62.59%,60.01%,1.50%
2021-12-06,Democratic Republic of Congo,539,"58,858",637.14,"162,994",0.18%,0.07%,1.89%
2021-12-06,Denmark,"7,146","516,257","88,806.15",4.61 million,79.23%,76.94%,0.57%
2021-12-06,Djibouti,0,"13,508","13,478.39","82,858",8.27%,2.60%,1.39%
2021-12-06,Dominica,-34,"6,086","84,326.33","28,898",40.04%,37.24%,0.69%
2021-12-06,Dominican Republic,232,"408,748","37,315.93",6.89 million,62.94%,51.37%,1.03%
2021-12-06,Ecuador,"2,479","529,349","29,591.62",13.88 million,77.60%,65.20%,6.33%
2021-12-06,Egypt,871,"364,033","3,491.64",27.98 million,26.84%,16.14%,5.71%
2021-12-06,El Salvador,0,"119,803","18,378.92",4.44 million,68.14%,62.71%,3.16%
2021-12-06,Equatorial Guinea,0,"13,599","9,379.33","247,933",17.10%,13.70%,1.29%
2021-12-06,Eritrea,26,"7,484","2,078.05",,,,0.81%
2021-12-06,Estonia,301,"225,294","170,009.09","831,114",62.72%,59.94%,0.81%
2021-12-06,Eswatini,347,"47,851","40,815.65","302,675",25.82%,24.13%,2.61%
