year,month,day,hour,season,PM_Dongsi,PM_Dongsihuan,PM_Nongzhanguan,PM_US Post,DEWP,HUMI,PRES,TEMP,cbwd,Iws,precipitation,Iprec
2015,1,4,3,4,198.0,280.0,200.0,206.0,-13.0,57.0,1016.0,-6.0,NW,12.97,0.0,0.0
2015,1,4,4,4,145.0,208.0,167.0,163.0,-14.0,49.0,1016.0,-5.0,NW,14.76,0.0,0.0
2015,1,4,5,4,115.0,152.0,131.0,137.0,-14.0,57.0,1015.0,-7.0,NE,1.79,0.0,0.0
2015,1,4,6,4,116.0,143.0,116.0,144.0,-14.0,61.0,1015.0,-8.0,NW,4.02,0.0,0.0
2015,1,4,7,4,149.0,180.0,126.0,166.0,-14.0,53.0,1016.0,-6.0,NE,1.79,0.0,0.0
2015,1,4,8,4,126.0,180.0,130.0,160.0,-13.0,49.0,1016.0,-4.0,cv,1.79,0.0,0.0
2015,1,4,9,4,109.0,151.0,104.0,115.0,-12.0,42.0,1017.0,-1.0,SE,3.13,0.0,0.0
2015,1,4,10,4,141.0,115.0,98.0,106.0,-14.0,33.0,1018.0,0.0,SE,4.92,0.0,0.0
2015,1,4,11,4,95.0,116.0,94.0,107.0,-14.0,27.0,1018.0,3.0,cv,0.89,0.0,0.0
2015,1,4,12,4,95.0,127.0,102.0,112.0,-14.0,22.0,1017.0,6.0,NW,1.79,0.0,0.0
2015,1,4,13,4,101.0,125.0,102.0,114.0,-14.0,19.0,1016.0,8.0,cv,0.89,0.0,0.0
2015,1,4,14,4,122.0,159.0,146.33333333333334,158.0,-13.0,20.0,1016.0,8.0,SE,1.79,0.0,0.0
2015,1,4,15,4,167.0,194.0,179.0,176.0,-14.0,19.0,1016.0,8.0,SE,4.92,0.0,0.0
2015,1,4,16,4,196.0,210.0,200.33333333333334,195.0,-13.0,24.0,1016.0,6.0,SE,6.71,0.0,0.0
2015,1,4,17,4,212.0,238.0,160.0,225.0,-13.0,25.0,1016.0,5.0,SE,9.84,0.0,0.0
2015,1,4,18,4,286.0,286.0,284.0,269.0,-12.0,30.0,1016.0,4.0,cv,0.89,0.0,0.0
2015,1,4,19,4,327.0,301.0,322.0,305.0,-11.0,40.0,1016.0,1.0,NE,0.89,0.0,0.0
2015,1,4,20,4,345.0,342.0,344.0,360.0,-10.0,43.0,1017.0,1.0,cv,0.89,0.0,0.0
2015,1,4,21,4,332.0,304.0,328.0,279.0,-9.0,50.0,1018.0,0.0,NE,0.89,0.0,0.0
2015,1,4,22,4,251.0,338.0,312.0,321.0,-9.0,47.0,1017.0,1.0,cv,0.89,0.0,0.0
2015,1,4,23,4,245.0,332.0,306.0,250.0,-9.0,50.0,1017.0,0.0,cv,1.34,0.0,0.0
2015,1,5,0,4,188.0,255.0,253.0,171.0,-9.0,47.0,1017.0,1.0,cv,2.23,0.0,0.0
2015,1,5,1,4,144.0,228.0,202.0,146.0,-9.0,43.0,1017.0,2.0,cv,3.12,0.0,0.0
2015,1,5,2,4,148.0,204.0,170.0,150.0,-9.0,50.0,1017.0,0.0,cv,3.57,0.0,0.0
2015,1,5,3,4,149.0,189.0,159.0,142.0,-9.0,47.0,1016.0,1.0,cv,4.02,0.0,0.0
2015,1,5,4,4,130.0,192.0,151.0,148.0,-8.0,58.0,1015.0,-1.0,cv,4.91,0.0,0.0
2015,1,5,5,4,187.0,172.0,153.0,186.0,-8.0,54.0,1015.0,0.0,NW,0.89,0.0,0.0
2015,1,5,6,4,194.0,195.0,155.0,178.0,-7.0,63.0,1016.0,-1.0,cv,0.89,0.0,0.0
2015,1,5,7,4,169.0,192.0,170.0,153.0,-7.0,59.0,1015.0,0.0,NW,3.13,0.0,0.0
2015,1,5,8,4,170.0,201.0,150.0,159.0,-8.0,50.0,1016.0,1.0,NW,4.92,0.0,0.0
2015,1,5,9,4,143.0,235.0,168.0,185.0,-9.0,40.0,1016.0,3.0,NW,6.71,0.0,0.0
2015,1,5,10,4,178.33333333333334,185.0,169.0,181.0,-9.0,35.0,1017.0,5.0,NW,9.84,0.0,0.0
2015,1,5,11,4,159.33333333333334,184.0,155.0,139.0,-9.0,30.0,1017.0,7.0,NW,13.86,0.0,0.0
2015,1,5,12,4,26.0,27.0,38.0,36.0,-9.0,26.0,1017.0,9.0,NE,3.13,0.0,0.0
2015,1,5,13,4,25.0,18.0,27.0,22.0,-12.0,18.0,1017.0,11.0,NW,4.92,0.0,0.0
2015,1,5,14,4,16.0,3.0,16.0,14.0,-14.0,16.0,1018.0,10.0,NW,13.86,0.0,0.0
2015,1,5,15,4,9.0,3.0,14.0,15.0,-14.0,18.0,1019.0,9.0,NW,22.8,0.0,0.0
2015,1,5,16,4,10.0,3.0,16.0,12.0,-16.0,16.0,1021.0,8.0,NW,29.95,0.0,0.0
2015,1,5,17,4,6.0,3.0,10.0,9.0,-19.0,15.0,1023.0,5.0,NW,39.78,0.0,0.0
2015,1,5,18,4,5.0,3.0,10.0,25.0,-18.0,18.0,1024.0,4.0,NW,47.83,0.0,0.0
2015,1,5,19,4,7.0,7.0,6.0,29.0,-21.0,15.0,1026.0,3.0,NW,56.77,0.0,0.0
2015,1,5,20,4,6.0,8.0,3.0,27.0,-22.0,16.0,1027.0,1.0,NW,65.71,0.0,0.0
2015,1,5,21,4,3.0,4.0,3.0,23.0,-23.0,14.0,1028.0,1.0,NW,74.65,0.0,0.0
2015,1,5,22,4,5.0,4.0,3.0,15.0,-23.0,15.0,1028.0,0.0,NW,85.83,0.0,0.0
2015,1,5,23,4,8.0,3.0,7.0,16.0,-24.0,15.0,1029.0,-1.0,NW,93.88,0.0,0.0
2015,1,6,0,4,6.0,9.0,9.0,16.0,-24.0,20.0,1029.0,-5.0,NW,99.69,0.0,0.0
2015,1,6,1,4,6.0,6.0,11.0,15.0,-24.0,19.0,1030.0,-4.0,NW,106.84,0.0,0.0
2015,1,6,2,4,5.0,8.0,7.0,16.0,-23.0,18.0,1030.0,-2.0,NW,114.89,0.0,0.0
2015,1,6,3,4,6.0,8.0,10.0,20.0,-24.0,19.0,1030.0,-4.0,NE,1.79,0.0,0.0
2015,1,6,4,4,5.0,6.0,7.0,10.0,-23.0,22.0,1030.0,-5.0,NE,3.58,0.0,0.0
2015,1,6,5,4,6.0,8.0,12.0,17.0,-22.0,21.0,1030.0,-3.0,NW,4.92,0.0,0.0
2015,1,6,6,4,9.0,8.0,8.0,16.0,-23.0,24.0,1029.0,-6.0,cv,0.89,0.0,0.0
2015,1,6,7,4,8.0,13.0,9.0,22.0,-23.0,24.0,1029.0,-6.0,cv,1.78,0.0,0.0
2015,1,6,8,4,9.0,11.0,16.0,23.0,-21.0,23.0,1030.0,-3.0,NW,1.79,0.0,0.0
2015,1,6,9,4,10.0,11.0,17.0,17.0,-19.0,22.0,1030.0,0.0,NW,5.81,0.0,0.0
2015,1,6,10,4,15.0,13.0,15.0,23.0,-22.0,17.0,1029.0,0.0,NE,3.13,0.0,0.0
2015,1,6,11,4,10.0,14.0,15.0,13.0,-22.0,13.0,1028.0,3.0,NW,5.81,0.0,0.0
2015,1,6,12,4,12.0,12.666666666666666,9.0,17.0,-22.0,12.0,1027.0,4.0,NW,12.96,0.0,0.0
2015,1,6,13,4,23.0,24.0,17.0,32.0,-22.0,12.0,1026.0,5.0,NW,20.11,0.0,0.0
2015,1,6,14,4,26.0,31.666666666666668,33.0,36.0,-21.0,12.0,1025.0,6.0,NW,27.26,0.0,0.0
2015,1,6,15,4,32.0,35.333333333333336,33.0,41.0,-21.0,13.0,1025.0,5.0,SE,4.02,0.0,0.0
2015,1,6,16,4,47.0,50.666666666666664,51.0,54.0,-21.0,13.0,1025.0,5.0,SE,8.94,0.0,0.0
2015,1,6,17,4,57.0,61.0,62.0,64.0,-21.0,15.0,1025.0,3.0,SE,12.96,0.0,0.0
2015,1,6,18,4,56.0,58.0,57.0,61.0,-22.0,13.0,1026.0,3.0,SE,16.09,0.0,0.0
2015,1,6,19,4,84.0,84.66666666666667,78.0,92.0,-21.0,16.0,1026.0,2.0,SE,19.22,0.0,0.0
2015,1,6,20,4,103.0,102.66666666666667,103.0,102.0,-18.0,28.0,1026.0,-2.0,SE,21.01,0.0,0.0
2015,1,6,21,4,100.0,99.0,101.0,96.0,-20.0,17.0,1026.0,2.0,NW,3.13,0.0,0.0
2015,1,6,22,4,107.0,108.33333333333333,106.0,112.0,-18.0,38.0,1026.0,-6.0,NW,4.92,0.0,0.0
2015,1,6,23,4,120.0,118.33333333333333,114.0,121.0,-17.0,35.0,1027.0,-4.0,cv,0.89,0.0,0.0
2015,1,7,0,4,111.0,123.66666666666667,126.0,134.0,-17.0,48.0,1027.0,-8.0,NW,3.13,0.0,0.0
2015,1,7,1,4,111.0,135.66666666666666,137.0,159.0,-17.0,38.0,1027.0,-5.0,NW,4.02,0.0,0.0
2015,1,7,2,4,105.0,110.0,116.0,109.0,-17.0,44.0,1027.0,-7.0,NW,7.15,0.0,0.0
2015,1,7,3,4,63.0,65.66666666666667,77.0,57.0,-17.0,44.0,1027.0,-7.0,NW,10.28,0.0,0.0
2015,1,7,4,4,26.0,40.666666666666664,66.0,30.0,-17.0,44.0,1027.0,-7.0,NW,12.07,0.0,0.0
2015,1,7,5,4,16.0,23.666666666666668,35.0,20.0,-17.0,44.0,1027.0,-7.0,NW,13.86,0.0,0.0
2015,1,7,6,4,15.0,22.333333333333332,23.0,29.0,-14.0,61.0,1028.0,-8.0,cv,0.89,0.0,0.0
2015,1,7,7,4,20.0,25.333333333333332,27.0,29.0,-17.0,44.0,1028.0,-7.0,NW,1.79,0.0,0.0
2015,1,7,8,4,22.0,29.666666666666668,26.0,41.0,-15.0,57.0,1030.0,-8.0,NE,1.79,0.0,0.0
2015,1,7,9,4,33.0,40.666666666666664,38.0,51.0,-15.0,39.0,1031.0,-3.0,NW,1.79,0.0,0.0
2015,1,7,10,4,47.0,58.666666666666664,61.0,68.0,-18.0,22.0,1031.0,1.0,cv,0.89,0.0,0.0
2015,1,7,11,4,58.0,67.33333333333333,70.0,74.0,-19.0,19.0,1031.0,2.0,cv,1.78,0.0,0.0
2015,1,7,12,4,50.0,54.666666666666664,56.0,58.0,-20.0,16.0,1030.0,3.0,SE,1.79,0.0,0.0
2015,1,7,13,4,63.0,61.0,66.0,59.0,-20.0,16.0,1030.0,3.0,SE,3.58,0.0,0.0
2015,1,7,14,4,61.0,71.0,73.0,73.0,-20.0,16.0,1030.0,3.0,SE,5.37,0.0,0.0
2015,1,7,15,4,66.0,72.0,67.0,74.0,-20.0,16.0,1030.0,3.0,cv,0.89,0.0,0.0
2015,1,7,16,4,73.0,87.0,81.0,84.0,-20.0,16.0,1031.0,3.0,cv,1.78,0.0,0.0
2015,1,7,17,4,75.0,107.0,82.0,94.0,-20.0,20.0,1031.0,0.0,SE,0.89,0.0,0.0
2015,1,7,18,4,65.0,106.0,72.0,85.0,-17.0,30.0,1031.0,-2.0,cv,0.45,0.0,0.0
2015,1,7,19,4,65.0,111.0,76.0,85.0,-15.0,42.0,1031.0,-4.0,cv,1.34,0.0,0.0
2015,1,7,20,4,67.0,119.0,84.0,107.0,-15.0,42.0,1032.0,-4.0,SE,0.89,0.0,0.0
2015,1,7,21,4,92.0,110.0,101.0,109.0,-10.0,58.0,1032.0,-3.0,SE,2.68,0.0,0.0
2015,1,7,22,4,75.0,134.0,99.0,74.0,-10.0,67.0,1031.0,-5.0,cv,0.89,0.0,0.0
2015,1,7,23,4,69.0,64.0,59.0,65.0,-13.0,62.0,1032.0,-7.0,SE,1.79,0.0,0.0
2015,1,8,0,4,60.0,74.0,70.0,78.0,-10.0,67.0,1032.0,-5.0,cv,0.89,0.0,0.0
2015,1,8,1,4,67.0,78.0,70.0,66.0,-10.0,67.0,1032.0,-5.0,SE,0.89,0.0,0.0
2015,1,8,2,4,86.0,77.0,79.0,86.0,-11.0,73.0,1032.0,-7.0,NE,0.89,0.0,0.0
2015,1,8,3,4,104.0,97.0,100.0,132.0,-10.0,67.0,1032.0,-5.0,NE,2.68,0.0,0.0
2015,1,8,4,4,135.0,170.0,168.0,203.0,-11.0,67.0,1031.0,-6.0,cv,0.89,0.0,0.0
2015,1,8,5,4,156.0,208.0,210.0,197.0,-11.0,67.0,1031.0,-6.0,cv,1.78,0.0,0.0
2015,1,8,6,4,161.0,200.0,185.0,151.0,-12.0,72.0,1031.0,-8.0,NW,3.13,0.0,0.0
2015,1,8,7,4,147.0,188.0,160.0,143.0,-14.0,78.0,1032.0,-11.0,NE,1.79,0.0,0.0
2015,1,8,8,4,96.0,178.0,165.0,122.0,-14.0,61.0,1032.0,-8.0,NW,1.79,0.0,0.0
2015,1,8,9,4,91.0,152.0,122.0,106.0,-12.0,57.0,1032.0,-5.0,NW,3.58,0.0,0.0
2015,1,8,10,4,78.0,90.0,96.0,84.0,-12.0,46.0,1031.0,-2.0,NW,5.37,0.0,0.0
2015,1,8,11,4,84.0,99.0,96.0,91.0,-13.0,34.0,1031.0,1.0,NW,7.16,0.0,0.0
2015,1,8,12,4,90.0,103.0,109.0,105.0,-13.0,34.0,1029.0,1.0,NW,8.95,0.0,0.0
2015,1,8,13,4,128.0,130.0,124.0,124.0,-13.0,29.0,1028.0,3.0,cv,0.89,0.0,0.0
2015,1,8,14,4,150.0,193.0,201.0,178.0,-14.0,23.0,1027.0,5.0,cv,2.68,0.0,0.0
2015,1,8,15,4,140.0,179.0,161.0,140.0,-11.0,30.0,1027.0,5.0,SE,3.13,0.0,0.0
2015,1,8,16,4,168.0,149.0,175.0,166.0,-10.0,32.0,1027.0,5.0,SE,4.92,0.0,0.0
2015,1,8,17,4,182.0,165.0,181.0,159.0,-11.0,37.0,1027.0,2.0,cv,0.89,0.0,0.0
2015,1,8,18,4,193.0,169.0,185.0,165.0,-10.0,46.0,1027.0,0.0,cv,1.78,0.0,0.0
2015,1,8,19,4,188.0,245.0,189.0,210.0,-10.0,58.0,1028.0,-3.0,NE,1.79,0.0,0.0
2015,1,8,20,4,199.0,403.0,327.0,358.0,-10.0,58.0,1028.0,-3.0,cv,0.89,0.0,0.0
2015,1,8,21,4,292.0,408.0,383.0,359.0,-12.0,57.0,1028.0,-5.0,cv,1.78,0.0,0.0
2015,1,8,22,4,335.0,399.0,379.0,356.0,-12.0,57.0,1028.0,-5.0,NW,1.79,0.0,0.0
2015,1,8,23,4,282.0,381.0,367.0,259.0,-11.0,62.0,1028.0,-5.0,NW,2.68,0.0,0.0
2015,1,9,0,4,222.0,409.0,309.0,226.0,-12.0,62.0,1029.0,-6.0,NW,5.81,0.0,0.0
2015,1,9,1,4,203.0,313.0,245.0,294.0,-11.0,58.0,1029.0,-4.0,NW,8.94,0.0,0.0
2015,1,9,2,4,190.0,282.0,252.0,250.0,-11.0,62.0,1029.0,-5.0,NW,10.73,0.0,0.0
2015,1,9,3,4,126.0,272.0,251.0,215.0,-12.0,67.0,1029.0,-7.0,NW,13.86,0.0,0.0
2015,1,9,4,4,57.0,169.0,127.0,55.0,-11.0,58.0,1029.0,-4.0,NW,17.88,0.0,0.0
2015,1,9,5,4,30.0,50.0,36.0,40.0,-12.0,57.0,1029.0,-5.0,NW,18.77,0.0,0.0
2015,1,9,6,4,9.0,78.0,26.0,16.0,-14.0,57.0,1029.0,-7.0,NE,1.79,0.0,0.0
2015,1,9,7,4,6.0,38.0,10.0,11.0,-13.0,49.0,1030.0,-4.0,NW,4.02,0.0,0.0
2015,1,9,8,4,8.0,4.0,12.0,12.0,-14.0,45.0,1030.0,-4.0,NW,7.15,0.0,0.0
2015,1,9,9,4,10.0,3.0,13.0,16.0,-13.0,39.0,1031.0,-1.0,NW,12.07,0.0,0.0
2015,1,9,10,4,10.0,5.0,13.0,16.0,-16.0,24.0,1032.0,2.0,NW,15.2,0.0,0.0
2015,1,9,11,4,8.0,3.0,12.0,13.0,-17.0,18.0,1031.0,5.0,NW,18.33,0.0,0.0
2015,1,9,12,4,7.0,3.0,12.0,11.0,-18.0,17.0,1030.0,5.0,NW,27.27,0.0,0.0
2015,1,9,13,4,7.0,3.0,7.0,14.0,-18.0,15.0,1029.0,6.0,NW,34.42,0.0,0.0
2015,1,9,14,4,7.0,3.0,10.0,10.0,-18.0,14.0,1028.0,7.0,NW,41.57,0.0,0.0
2015,1,9,15,4,7.0,3.0,11.0,13.0,-18.0,14.0,1028.0,7.0,NW,47.38,0.0,0.0
2015,1,9,16,4,7.0,3.0,12.0,21.0,-17.0,16.0,1028.0,7.0,NW,53.19,0.0,0.0
2015,1,9,17,4,5.0,7.0,13.0,22.0,-17.0,17.0,1028.0,6.0,NW,58.11,0.0,0.0
2015,1,9,18,4,61.0,22.0,28.0,43.0,-17.0,16.0,1028.0,7.0,NW,61.24,0.0,0.0
2015,1,9,19,4,119.0,82.0,102.0,101.0,-16.0,24.0,1028.0,2.0,cv,0.89,0.0,0.0
2015,1,9,20,4,162.0,128.0,143.0,163.0,-14.0,36.0,1027.0,-1.0,cv,1.34,0.0,0.0
2015,1,9,21,4,273.0,260.0,276.0,260.0,-14.0,45.0,1027.0,-4.0,cv,2.23,0.0,0.0
2015,1,9,22,4,289.0,291.0,298.0,283.0,-13.0,53.0,1027.0,-5.0,cv,2.68,0.0,0.0
2015,1,9,23,4,310.0,316.0,326.0,290.0,-13.0,49.0,1026.0,-4.0,cv,3.57,0.0,0.0
2015,1,10,0,4,281.0,281.0,295.0,247.0,-14.0,49.0,1026.0,-5.0,NW,1.79,0.0,0.0
2015,1,10,1,4,295.0,260.0,280.0,270.0,-14.0,57.0,1026.0,-7.0,cv,0.89,0.0,0.0
2015,1,10,2,4,320.0,276.0,305.0,291.0,-13.0,57.0,1025.0,-6.0,NW,0.89,0.0,0.0
2015,1,10,3,4,323.0,285.0,311.0,227.0,-14.0,53.0,1025.0,-6.0,NW,1.78,0.0,0.0
2015,1,10,4,4,306.0,204.0,251.0,209.0,-14.0,61.0,1024.0,-8.0,NW,3.57,0.0,0.0
2015,1,10,5,4,264.0,173.0,170.0,174.0,-15.0,61.0,1024.0,-9.0,cv,0.89,0.0,0.0
2015,1,10,6,4,237.0,178.0,172.0,166.0,-14.0,57.0,1023.0,-7.0,cv,1.78,0.0,0.0
2015,1,10,7,4,218.0,208.0,198.0,182.0,-14.0,67.0,1023.0,-9.0,cv,2.67,0.0,0.0
2015,1,10,8,4,195.0,202.0,194.0,193.0,-14.0,61.0,1023.0,-8.0,cv,3.56,0.0,0.0
2015,1,10,9,4,192.0,219.0,204.0,258.0,-12.0,53.0,1024.0,-4.0,SE,0.89,0.0,0.0
